agent_model,tier,criterion,criterion_score,criterion_label
Sonnet 4.5,T0,build_pipeline,1.0,Build Pipeline
Sonnet 4.5,T0,code_quality,1.0,Code Quality
Sonnet 4.5,T0,functional,1.0,Functional
Sonnet 4.5,T0,overall_quality,0.9666666666666667,Overall Quality
Sonnet 4.5,T0,proportionality,0.9033333333333333,Proportionality
Sonnet 4.5,T1,build_pipeline,1.0,Build Pipeline
Sonnet 4.5,T1,code_quality,1.0,Code Quality
Sonnet 4.5,T1,functional,1.0,Functional
Sonnet 4.5,T1,overall_quality,1.0,Overall Quality
Sonnet 4.5,T1,proportionality,0.9633333333333334,Proportionality
Sonnet 4.5,T2,build_pipeline,1.0,Build Pipeline
Sonnet 4.5,T2,code_quality,1.0,Code Quality
Sonnet 4.5,T2,functional,1.0,Functional
Sonnet 4.5,T2,overall_quality,1.0,Overall Quality
Sonnet 4.5,T2,proportionality,1.0,Proportionality
Sonnet 4.5,T3,build_pipeline,1.0,Build Pipeline
Sonnet 4.5,T3,code_quality,1.0,Code Quality
Sonnet 4.5,T3,functional,1.0,Functional
Sonnet 4.5,T3,overall_quality,0.9666666666666667,Overall Quality
Sonnet 4.5,T3,proportionality,0.9523333333333334,Proportionality
Sonnet 4.5,T4,build_pipeline,1.0,Build Pipeline
Sonnet 4.5,T4,code_quality,1.0,Code Quality
Sonnet 4.5,T4,functional,1.0,Functional
Sonnet 4.5,T4,overall_quality,0.9249999999999999,Overall Quality
Sonnet 4.5,T4,proportionality,0.9046666666666666,Proportionality
Sonnet 4.5,T5,build_pipeline,1.0,Build Pipeline
Sonnet 4.5,T5,code_quality,1.0,Code Quality
Sonnet 4.5,T5,functional,1.0,Functional
Sonnet 4.5,T5,overall_quality,0.9833333333333334,Overall Quality
Sonnet 4.5,T5,proportionality,0.9523333333333334,Proportionality
Sonnet 4.5,T6,build_pipeline,1.0,Build Pipeline
Sonnet 4.5,T6,code_quality,1.0,Code Quality
Sonnet 4.5,T6,functional,1.0,Functional
Sonnet 4.5,T6,overall_quality,0.9833333333333334,Overall Quality
Sonnet 4.5,T6,proportionality,0.9046666666666666,Proportionality
