pair_label,judge_x,judge_y,score_x,score_y
Judge 1 vs 2,Judge 1,Judge 2,0.96,0.96
Judge 1 vs 2,Judge 1,Judge 2,0.95,0.96
Judge 1 vs 2,Judge 1,Judge 2,0.95,1.0
Judge 1 vs 2,Judge 1,Judge 2,0.96,1.0
Judge 1 vs 2,Judge 1,Judge 2,0.95,1.0
Judge 1 vs 2,Judge 1,Judge 2,0.95,1.0
Judge 1 vs 2,Judge 1,Judge 2,0.93,0.9
Judge 2 vs 3,Judge 2,Judge 3,0.96,1.0
Judge 2 vs 3,Judge 2,Judge 3,0.96,1.0
Judge 2 vs 3,Judge 2,Judge 3,1.0,1.0
Judge 2 vs 3,Judge 2,Judge 3,1.0,0.99
Judge 2 vs 3,Judge 2,Judge 3,1.0,0.9286
Judge 2 vs 3,Judge 2,Judge 3,1.0,1.0
Judge 2 vs 3,Judge 2,Judge 3,0.9,1.0
Judge 1 vs 3,Judge 1,Judge 3,0.96,1.0
Judge 1 vs 3,Judge 1,Judge 3,0.95,1.0
Judge 1 vs 3,Judge 1,Judge 3,0.95,1.0
Judge 1 vs 3,Judge 1,Judge 3,0.96,0.99
Judge 1 vs 3,Judge 1,Judge 3,0.95,0.9286
Judge 1 vs 3,Judge 1,Judge 3,0.95,1.0
Judge 1 vs 3,Judge 1,Judge 3,0.93,1.0
