experiment,agent_model,tier,subtest,run_number,judge_model,judge_number,criterion,criterion_score,criterion_achieved,criterion_max
test-001,claude-haiku-4-5,T0,00,1,claude-opus-4-6,1,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,1,claude-opus-4-6,1,code_quality,0.0,0.0,3.0
test-001,claude-haiku-4-5,T0,00,1,claude-opus-4-6,1,proportionality,0.714,2.5,3.5
test-001,claude-haiku-4-5,T0,00,1,claude-opus-4-6,1,build_pipeline,1.0,0.0,0.0
test-001,claude-haiku-4-5,T0,00,1,claude-opus-4-6,1,overall_quality,0.0,0.0,2.0
test-001,claude-haiku-4-5,T0,00,1,claude-sonnet-4-6,2,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,1,claude-sonnet-4-6,2,code_quality,0.0,0.0,3.0
test-001,claude-haiku-4-5,T0,00,1,claude-sonnet-4-6,2,proportionality,0.43,1.5,3.5
test-001,claude-haiku-4-5,T0,00,1,claude-sonnet-4-6,2,build_pipeline,1.0,0.0,0.0
test-001,claude-haiku-4-5,T0,00,1,claude-sonnet-4-6,2,overall_quality,0.1,0.2,2.0
test-001,claude-haiku-4-5,T0,00,1,claude-haiku-4-5,3,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,1,claude-haiku-4-5,3,code_quality,0.0,0.0,4.0
test-001,claude-haiku-4-5,T0,00,1,claude-haiku-4-5,3,proportionality,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,1,claude-haiku-4-5,3,build_pipeline,1.0,1.0,1.0
test-001,claude-haiku-4-5,T0,00,1,claude-haiku-4-5,3,overall_quality,0.0,0.0,2.0
test-001,claude-haiku-4-5,T0,00,2,claude-opus-4-6,1,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,2,claude-opus-4-6,1,code_quality,0.0,0.0,3.0
test-001,claude-haiku-4-5,T0,00,2,claude-opus-4-6,1,proportionality,1.0,2.5,2.5
test-001,claude-haiku-4-5,T0,00,2,claude-opus-4-6,1,build_pipeline,1.0,0.0,0.0
test-001,claude-haiku-4-5,T0,00,2,claude-opus-4-6,1,overall_quality,0.05,0.1,2.0
test-001,claude-haiku-4-5,T0,00,2,claude-sonnet-4-6,2,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,2,claude-sonnet-4-6,2,code_quality,0.0,0.0,3.0
test-001,claude-haiku-4-5,T0,00,2,claude-sonnet-4-6,2,proportionality,0.714,2.5,3.5
test-001,claude-haiku-4-5,T0,00,2,claude-sonnet-4-6,2,build_pipeline,0.0,0.0,1.0
test-001,claude-haiku-4-5,T0,00,2,claude-sonnet-4-6,2,overall_quality,0.05,0.1,2.0
test-001,claude-haiku-4-5,T0,00,2,claude-haiku-4-5,3,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,2,claude-haiku-4-5,3,code_quality,0.0,0.0,4.0
test-001,claude-haiku-4-5,T0,00,2,claude-haiku-4-5,3,proportionality,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,2,claude-haiku-4-5,3,build_pipeline,1.0,1.0,1.0
test-001,claude-haiku-4-5,T0,00,2,claude-haiku-4-5,3,overall_quality,0.0,0.0,2.0
test-001,claude-haiku-4-5,T0,00,3,claude-opus-4-6,1,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,3,claude-opus-4-6,1,code_quality,0.0,0.0,3.0
test-001,claude-haiku-4-5,T0,00,3,claude-opus-4-6,1,proportionality,1.0,2.5,2.5
test-001,claude-haiku-4-5,T0,00,3,claude-opus-4-6,1,build_pipeline,1.0,0.0,0.0
test-001,claude-haiku-4-5,T0,00,3,claude-opus-4-6,1,overall_quality,0.0,0.0,2.0
test-001,claude-haiku-4-5,T0,00,3,claude-sonnet-4-6,2,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,3,claude-sonnet-4-6,2,code_quality,0.0,0.0,3.0
test-001,claude-haiku-4-5,T0,00,3,claude-sonnet-4-6,2,proportionality,0.43,1.5,3.5
test-001,claude-haiku-4-5,T0,00,3,claude-sonnet-4-6,2,build_pipeline,1.0,0.0,0.0
test-001,claude-haiku-4-5,T0,00,3,claude-sonnet-4-6,2,overall_quality,0.0,0.0,2.0
test-001,claude-haiku-4-5,T0,00,3,claude-haiku-4-5,3,functional,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,3,claude-haiku-4-5,3,code_quality,0.0,0.0,4.0
test-001,claude-haiku-4-5,T0,00,3,claude-haiku-4-5,3,proportionality,0.0,0.0,3.5
test-001,claude-haiku-4-5,T0,00,3,claude-haiku-4-5,3,build_pipeline,1.0,1.0,1.0
test-001,claude-haiku-4-5,T0,00,3,claude-haiku-4-5,3,overall_quality,0.0,0.0,2.0
test-001,claude-haiku-4-5,T0,01,1,claude-opus-4-6,1,functional,1.0,3.5,3.5
test-001,claude-haiku-4-5,T0,01,1,claude-opus-4-6,1,code_quality,1.0,3.0,3.0
test-001,claude-haiku-4-5,T0,01,1,claude-opus-4-6,1,proportionality,1.0,3.5,3.5
