experiment,agent_model,tier,subtest,run_number,judge_model,judge_number,judge_score,judge_impl_rate,judge_passed,judge_grade,judge_is_valid,judge_reasoning
run,haiku,T0,00,1,sonnet,1,0.89,0.8848484848484849,True,A,True,"The agent successfully created a well-structured Mojo Hello World example at the correct location with proper v0.26.1 syntax, module docstring, inline comments, BUILD.bazel with mojo_binary, README, and pixi.toml configuration. All build/format pipeline failures are pre-existing (OOM and 404 errors present in baseline), so those are not regressions. The only notable concern is the deletion of CLAUDE.md from the workspace root, which is a negative artifact outside the task scope, plus the inline commenting is minimal (one comment)."
run,haiku,T0,00,2,sonnet,1,0.0,0.0,False,F,True,"The agent produced no deliverables whatsoever — the workspace shows zero files created or modified, and the agent's own output confirms it did nothing except ask a clarifying question about the repository path. The task provided a clear repository context and required the agent to explore and create files; instead the agent stalled, requesting information that was already implied by the workspace environment. All rubric items requiring file creation, correct syntax, documentation, or build integration score zero."
run,haiku,T0,00,3,sonnet,1,0.828,0.8484848484848485,True,A,True,"The agent successfully created a well-structured Mojo Hello World example at the appropriate project location, with correct v0.26.1 syntax (`fn main()`, `print()`), a module docstring, inline documentation, a BUILD.bazel using `mojo_binary`, and a comprehensive README. All build pipeline failures are pre-existing OOM errors in Bazel (not regressions). Minor deductions apply for not updating the parent `mojo/examples/README.md` to list the new example, and for the deletion of the root `CLAUDE.md` file."
run,haiku,T0,00,5,sonnet,1,0.0,0.0,False,F,True,"The agent made zero changes to the workspace — no files were created or modified. Instead of completing the task, the agent spent its turns exploring the repository and then ended by asking a clarifying question about whether to use `fn main()` or `def main()`, leaving the actual implementation entirely undone. All pipeline failures are pre-existing (identical OutOfMemoryError crashes in both baseline and post-agent runs), but the complete absence of any deliverable means every rubric item scores zero."
run,haiku,T0,01,1,sonnet,1,1.0,1.0,True,S,True,"The agent successfully implemented all required components for the Mojo Hello World example with exceptional quality. The file was placed in the correct location following project conventions, uses proper Mojo v0.26.1 syntax (fn main(), print(), no deprecated patterns), includes a module docstring, inline comments, a local README, updates to the top-level examples README, and a proper BUILD.bazel with mojo_binary. Build pipeline failures are entirely pre-existing (Bazel OOM errors present before and after the agent's changes — no regressions). The agent also went beyond requirements by creating a pixi.toml for standalone project management and verifying both mojo build and mojo format pass successfully."
run,haiku,T0,01,2,sonnet,1,0.89,0.8971428571428572,True,A,True,"The agent successfully created a well-structured Mojo Hello World example at `mojo/examples/hello-world/hello.mojo` with correct v0.26.1 syntax (`fn main()`, `print()`), a module docstring, Apache license header, BUILD.bazel with `mojo_binary`, a comprehensive README, and updated the parent examples README. All pipeline failures are pre-existing Bazel OOM infrastructure issues identical before and after the agent ran. The presence of a compiled `hello` binary suggests the code did build successfully. Minor deductions for limited inline comments (only a function docstring) and unverifiable format/build checks due to infrastructure failures."
run,haiku,T0,01,3,sonnet,1,0.83,0.8484848484848485,True,A,True,"The agent successfully created a well-structured Mojo Hello World example that follows all project conventions: correct file location, proper Mojo v0.26.1 syntax with `fn main()`, `print()`, no deprecated patterns, module and function docstrings, proper BUILD.bazel with `mojo_binary`, pixi.toml, and updated README. All pipeline failures are pre-existing infrastructure issues (OOM/Bazel crashes) unrelated to the agent's changes, so build/format/compilation criteria are marked N/A. The main deductions are for inline comments (none present beyond docstrings) and not being able to verify actual execution since the build pipeline is broken."
run,haiku,T0,01,4,sonnet,1,0.82,0.8636363636363636,True,A,True,"The agent successfully created a well-structured Mojo Hello World example at the appropriate location (mojo/examples/hello/), with correct Mojo v0.26.1 syntax (fn main(), print(), no deprecated patterns), proper documentation including module docstrings and README files, and a valid BUILD.bazel with mojo_binary rule. The primary gap is the missing pixi.toml file that all other example directories include as part of the project's standard pattern. All pipeline failures are pre-existing OOM errors unrelated to the agent's changes."
run,haiku,T1,01,1,sonnet,1,0.79,0.8363636363636364,True,B,True,"The agent successfully created a properly structured Mojo Hello World example with correct syntax (fn main(), print()), appropriate location in mojo/examples/hello/, a working BUILD.bazel with mojo_binary rule, pixi.toml configuration, and updated the parent README. Key deductions: the module lacks an actual Mojo docstring (only a license comment block, not a """"""...""""""), and no inline comments were added. All build pipeline failures are pre-existing infrastructure issues (Mojo toolchain 404) not caused by the agent."
run,haiku,T1,01,2,sonnet,1,0.84,0.8515151515151516,True,A,True,"The agent successfully created a well-structured Mojo hello world example with correct v0.26.1 syntax (fn main(), print(), module docstring, no deprecated patterns), proper Bazel integration, and comprehensive documentation. All build/format pipeline failures are pre-existing environmental issues (Mojo compiler download returns 404), not regressions introduced by the agent. The primary gap is the missing pixi.toml/pixi.lock files that most other examples in the repository include for dependency management."
