experiment,agent_model,tier,subtest,pass_rate,mean_score,median_score,std_score,mean_impl_rate,median_impl_rate,std_impl_rate,consistency,mean_cost,total_cost,mean_duration,cop,mean_r_prog,median_r_prog,std_r_prog,mean_cfp,median_cfp,std_cfp,mean_pr_revert_rate,median_pr_revert_rate,std_pr_revert_rate,mean_strategic_drift,median_strategic_drift,std_strategic_drift,grade_S,grade_A,grade_B,grade_C,grade_D,grade_F,modal_grade
test-001,claude-haiku-4-5,T0,00,0.0,0.04511111111111112,0.062,0.030414421530534443,0.15555555555555556,0.14166666666666666,0.039381796885438414,0.3257886852837194,0.02005075,0.06015225,73.89378766666667,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,F
test-001,claude-haiku-4-5,T0,01,1.0,0.9039999999999999,0.9033333333333333,0.012346839451634731,0.9717001915708813,0.9655172413793104,0.019299353812533802,0.9863419917570412,0.03089628333333334,0.09268885000000002,105.32224166666667,0.03089628333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,02,1.0,0.8963111111111112,0.9,0.022560667182149233,0.9693402777777779,0.9640625,0.01919787239248524,0.9748294237319206,0.032596933333333335,0.0977908,521.187247,0.032596933333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,03,1.0,0.9001111111111112,0.915,0.04905816653426521,0.9656439393939392,0.9631818181818181,0.02032051344721619,0.9454976547576365,0.06038836666666667,0.18116510000000002,990.2557916666666,0.06038836666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,04,1.0,0.9092222222222223,0.9062,0.010079094609544396,0.9831249999999999,0.99,0.0152709896535883,0.9889145971543567,0.037321983333333336,0.11196595000000001,382.5420789999999,0.037321983333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,05,1.0,0.9076555555555554,0.89,0.03174202145305059,0.9694047619047619,0.9607142857142856,0.015675005017955403,0.9650285603842065,0.038295383333333335,0.11488615,494.193829,0.038295383333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,06,1.0,0.9248444444444445,0.9178666666666667,0.013138803147476837,0.9769049329501915,0.9733333333333333,0.01690711060749142,0.9857934994080336,0.04253648333333334,0.12760945,492.169906,0.04253648333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,07,1.0,0.9144444444444444,0.9166666666666666,0.02009237924447238,0.9600694444444445,0.946875,0.02303410565114584,0.9780277748237848,0.037478983333333334,0.11243695,128.83378966666666,0.037478983333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,08,1.0,0.9103111111111112,0.9121333333333334,0.009531546064011373,0.9618279569892474,0.96,0.02730399515146744,0.9895293532643171,0.03222448333333334,0.09667345000000001,568.7047896666667,0.03222448333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,09,1.0,0.9100666666666667,0.9102,0.006667666591677903,0.9806188423645321,0.9857142857142858,0.013306860746870961,0.99267343060031,0.03196778333333333,0.09590335,591.862865,0.03196778333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,10,1.0,0.9073777777777777,0.91,0.004541822117625069,0.9622321428571429,0.9785714285714285,0.029546287406200387,0.9949945632030484,0.04315818333333333,0.12947455,386.80936733333334,0.04315818333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,11,1.0,0.91,0.9,0.023333333333333286,0.9487327188940092,0.9354838709677419,0.03245312159067289,0.9743589743589745,0.03391433333333333,0.101743,113.70363666666667,0.03391433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,12,1.0,0.9011111111111111,0.9333333333333332,0.05581052602166384,0.9818055555555555,0.9866666666666667,0.011428623098428172,0.9380647676701634,0.03935845,0.11807535000000001,270.22328,0.03935845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,13,1.0,0.9180666666666667,0.9179999999999999,0.005233651794981346,0.978125,0.9875,0.021875000000000016,0.9942992682503289,0.04155445,0.12466335,670.4850313333333,0.04155445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,14,1.0,0.9130158730158731,0.9233333333333333,0.02082392077618477,0.9702777777777779,0.9866666666666667,0.028386388235156615,0.9771921590942343,0.03836991666666667,0.11510975000000001,268.154166,0.03836991666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,15,1.0,0.9160666666666667,0.9085000000000001,0.015412440862281832,0.9672222222222223,0.9566666666666667,0.024286103327104857,0.9831754156950566,0.03967656666666667,0.1190297,835.5303853333335,0.03967656666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,16,1.0,0.9245555555555556,0.9119999999999999,0.02650017470242906,0.9879365079365079,0.9866666666666667,0.006521955477476765,0.9713373906595527,0.03953075,0.11859225000000001,847.8592286666667,0.03953075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,17,1.0,0.9088888888888889,0.9166666666666666,0.013471506281091193,0.9513392857142858,0.959375,0.0407767964668884,0.9851780493239828,0.04269420000000001,0.12808260000000002,257.0990126666667,0.04269420000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,18,1.0,0.8778888888888888,0.8933333333333332,0.0678317635636001,0.9657936507936508,0.9857142857142858,0.035331547039089,0.9227330879543854,0.03620388333333333,0.10861165,266.79093900000004,0.03620388333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,19,1.0,0.9211111111111112,0.9133333333333334,0.016442942874387426,0.9869444444444445,0.9866666666666667,0.0004811252243246992,0.9821487954319075,0.0439169,0.1317507,663.8099766666667,0.0439169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,20,1.0,0.9181777777777778,0.9133333333333334,0.013406687109769437,0.964005376344086,0.964516129032258,0.026253726425621106,0.9853985933506069,0.040641616666666665,0.12192485,133.78264066666668,0.040641616666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,21,1.0,0.9204777777777777,0.9185666666666666,0.005488810165877302,0.9718279569892473,0.9866666666666667,0.03165091709042649,0.9940369987213288,0.032450683333333334,0.09735205,245.53144899999998,0.032450683333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,22,1.0,0.9151666666666666,0.9066666666666667,0.021202227346305978,0.9911805555555556,0.99,0.005205554814419455,0.9768323868006127,0.04277435000000001,0.12832305000000002,488.3387056666667,0.04277435000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T0,23,1.0,0.8123666666666667,0.7756666666666666,0.07450289330697912,0.8211111111111111,0.7533333333333334,0.14720859475713488,0.9082890813175752,0.042787,0.128361,642.5350436666666,0.042787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0,0,B
test-001,claude-haiku-4-5,T1,01,1.0,0.9157666666666667,0.9209666666666667,0.0111194024619631,0.9943194444444444,0.990625,0.032041095713651394,0.987857821357009,0.034577500000000004,0.1037325,498.1298796666667,0.034577500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,02,1.0,0.911511111111111,0.9178666666666667,0.015977947766056114,0.9891369047619047,0.9892857142857142,0.0015678056179840015,0.9824709237536563,0.03364978333333333,0.10094935,304.45150033333334,0.03364978333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,03,1.0,0.9201666666666667,0.9178666666666667,0.018093307541126313,0.9732168458781363,0.9875,0.03299757553420827,0.9803369235198772,0.04265045,0.12795135,834.0208819999999,0.04265045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,04,1.0,0.8848888888888888,0.88,0.019791505847299815,0.9752777777777778,0.9866666666666667,0.020452066815777763,0.9776339085100831,0.03199743333333333,0.0959923,492.067027,0.03199743333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,05,1.0,0.9215111111111112,0.9178666666666667,0.007376037277964733,0.9577777777777778,0.9666666666666667,0.027755546659548384,0.9919957153103981,0.04075263333333334,0.1222579,497.9439663333333,0.04075263333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,06,1.0,0.9165111111111112,0.9145333333333333,0.0076930945466505175,0.9543623737373738,0.9482954545454545,0.029738650194464738,0.9916061088039358,0.03336703333333333,0.1001011,565.4700723333334,0.03336703333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,07,1.0,0.8956666666666666,0.8966666666666666,0.017188497445804977,0.9469444444444445,0.9533333333333334,0.04409847985958163,0.9808092696920674,0.04048828333333334,0.12146485000000001,445.05689466666666,0.04048828333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,08,1.0,0.9111777777777778,0.9133333333333334,0.004810328394118124,0.9652777777777778,0.9833333333333333,0.03494373784835866,0.9947207575607805,0.04246528333333333,0.12739585,428.7814183333333,0.04246528333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,09,1.0,0.8957111111111112,0.9021333333333333,0.012594590255490758,0.9869444444444445,0.9866666666666667,0.0004811252243246992,0.985939004106059,0.034634116666666666,0.10390235,111.17004266666667,0.034634116666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T1,10,1.0,0.9061111111111111,0.9,0.01669442133479634,0.9744246031746032,0.9866666666666667,0.027566679450898742,0.9815757459211322,0.038009433333333335,0.11402830000000001,875.779643,0.038009433333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,01,1.0,0.9320666666666667,0.9433333333333334,0.022463105553576314,0.9669642857142856,0.9571428571428572,0.017790052540331495,0.9758996793288288,0.03533006666666667,0.1059902,257.632988,0.03533006666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,02,1.0,0.8918555555555555,0.9,0.017287642771430516,0.9527777777777778,0.9466666666666667,0.03128424050066908,0.9806160956628659,0.038234333333333335,0.11470300000000001,314.02429466666666,0.038234333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,03,1.0,0.9211499999999999,0.92,0.0023016298572967556,0.9835714285714285,0.9857142857142858,0.009352628257810637,0.9975013517263239,0.04036448333333334,0.12109345000000002,1730.9741299999998,0.04036448333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,04,1.0,0.9255555555555555,0.9266666666666667,0.008388704928078592,0.9804105090311986,0.9857142857142858,0.013074742932378487,0.9909365733069979,0.0433432,0.1300296,139.60232166666665,0.0433432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,05,1.0,0.8909333333333334,0.8953333333333333,0.017161714496064944,0.9423611111111111,0.925,0.03562032945342264,0.9807373752289005,0.03757083333333333,0.1127125,250.24984333333336,0.03757083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,06,1.0,0.8959444444444444,0.9023666666666667,0.01814032749102074,0.960625,0.98,0.033558484396646986,0.9797528433782865,0.03562351666666667,0.10687055000000001,105.994464,0.03562351666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,07,1.0,0.9285777777777778,0.9262,0.013260858583454174,0.9658333333333333,0.9875,0.04267936009100631,0.985719173018345,0.03158363333333333,0.0947509,271.101607,0.03158363333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,08,1.0,0.8915111111111113,0.9066666666666667,0.0332960680583781,0.9500000000000001,0.9375,0.03307189138830739,0.9626520997400914,0.03850903333333334,0.11552710000000001,409.35073533333326,0.03850903333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,09,1.0,0.9144,0.9233333333333333,0.02783027927356182,0.9811111111111112,0.99,0.01835856849095365,0.9695644364899805,0.03663293333333333,0.1098988,498.06456366666663,0.03663293333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,10,1.0,0.9057111111111111,0.8954666666666666,0.0364624819861813,0.9642527777777778,0.9866666666666667,0.04215573008149309,0.9597415980229614,0.038923433333333333,0.11677030000000001,572.075323,0.038923433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,11,1.0,0.8999999999999999,0.9033333333333333,0.04176654695380558,0.9894444444444446,0.9875,0.0033678765702728304,0.9535927256068827,0.03195381666666667,0.09586145000000001,900.6698733333334,0.03195381666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,12,1.0,0.9317444444444445,0.9319000000000001,0.0016721022474495664,0.9795238095238096,0.99,0.022614034532191078,0.9982054067964456,0.03610268333333334,0.10830805000000002,496.82487,0.03610268333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,13,1.0,0.89,0.89,0.0033333333333332438,0.9705555555555555,0.9866666666666667,0.028629982988572087,0.9962546816479402,0.03507596666666667,0.10522790000000001,152.87939533333335,0.03507596666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,14,1.0,0.9030222222222223,0.9078666666666667,0.010293759346394397,0.965793650793651,0.9857142857142858,0.035331547039089,0.9886007685159034,0.03558765,0.10676295,259.09317566666664,0.03558765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
test-001,claude-haiku-4-5,T2,15,1.0,0.8936555555555555,0.89,0.021418588327103298,0.9683333333333334,0.98,0.026964482812272407,0.9760326132434906,0.034240200000000005,0.10272060000000001,111.20366633333333,0.034240200000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,A
