experiment,tier,mean_cost,pass_rate
test-001,T0,0.03836619652777778,0.9583333333333334
test-001,T1,0.037259195,1.0
test-001,T2,0.036605052222222226,1.0
test-001,T3,0.041451277235772355,1.0
test-001,T4,0.04423016547619048,1.0
test-001,T5,0.04247158,1.0
test-001,T6,0.10615335,1.0
test-002,T0,0.21866679305555559,0.9027777777777778
test-002,T1,0.22865273666666666,0.9333333333333333
test-002,T2,0.22172164555555554,0.9555555555555556
test-002,T3,0.22908288983739836,0.967479674796748
test-002,T4,0.23585412976190476,0.9761904761904762
test-002,T5,0.21740030666666668,0.9555555555555556
test-002,T6,0.27918261666666666,1.0
test-003,T0,0.07141271736111111,0.9444444444444444
test-003,T1,0.07376197000000001,0.9666666666666667
test-003,T2,0.07250905,0.9777777777777777
test-003,T3,0.07128207032520324,0.959349593495935
test-003,T4,0.0757944988095238,0.9523809523809523
test-003,T5,0.09845325222222222,0.9333333333333333
test-003,T6,0.10008933333333335,1.0
