agent_model,metric1,metric2,rho,p_value,label,p_value_corrected,significant
Sonnet 4.5,Score,Score,1.0,0.0,1.00,0.0,True
Sonnet 4.5,Score,Cost (USD),-0.630061919161936,0.1293597076444284,-0.63,1.0,False
Sonnet 4.5,Score,Total Tokens,-0.4076871241636057,0.36394248359194625,-0.41,1.0,False
Sonnet 4.5,Score,Duration (s),0.03706246583305506,0.9371240086628561,0.04,1.0,False
Sonnet 4.5,Cost (USD),Score,-0.6300619191619361,0.12935970764442833,-0.63,1.0,False
Sonnet 4.5,Cost (USD),Cost (USD),1.0,0.0,1.00,0.0,True
Sonnet 4.5,Cost (USD),Total Tokens,0.8928571428571429,0.006807187408935393,0.89,0.08168624890722471,False
Sonnet 4.5,Cost (USD),Duration (s),-0.14285714285714288,0.7599453002180927,-0.14,1.0,False
Sonnet 4.5,Total Tokens,Score,-0.4076871241636057,0.36394248359194625,-0.41,1.0,False
Sonnet 4.5,Total Tokens,Cost (USD),0.8928571428571429,0.006807187408935393,0.89,0.08168624890722471,False
Sonnet 4.5,Total Tokens,Total Tokens,1.0,0.0,1.00,0.0,True
Sonnet 4.5,Total Tokens,Duration (s),0.03571428571428572,0.9394082054712856,0.04,1.0,False
Sonnet 4.5,Duration (s),Score,0.037062465833055065,0.9371240086628561,0.04,1.0,False
Sonnet 4.5,Duration (s),Cost (USD),-0.14285714285714288,0.7599453002180927,-0.14,1.0,False
Sonnet 4.5,Duration (s),Total Tokens,0.03571428571428572,0.9394082054712856,0.04,1.0,False
Sonnet 4.5,Duration (s),Duration (s),1.0,0.0,1.00,0.0,True
